Depth,volume,Ablabesmyia,Brillia,Chironomus anthracinus,Chironomus plumosus,Cladopelma laccophila,Cladotanytarsus laterais,Cladotanytarsus mancus,Corynocera ambigua,Corynoneura edwardsi,Cricotopus cylindraceus,Cricotopus intersectus,Cricotopus P,Cryptochironomus,Dicrotendipes nervosus,Glyptotendipes barbipes,Glyptotendipes pallens,Heterotrissocladius marcidus,Heterotrissocladius subpilosus,Limnophyes,Micropsectra insignilobus,Micropsectra pallidula,Micropsectra radialis,Microtendipes pedellus,Parachironomus varus,Parametriocnemus,Paratanytarsus austriacus,Paratendipes nudisquama,Phaenopsectra flavipes,Polypedilum nubeculosum,Procladius,Psectrocladius sordidellus,Pseudochironomus,Pseudorthocladius,Pseudosmittia,Sergentia coracina,Smittia foliacea,Synorthocladius,Tanytarsus chinyensis,Tanytarsus lactescens,Tanytarsus mendax,Tanytarsus pallidicornis 2,Thienemannimyia,Trissocladius,Xenochironomus,Zalutschia B
0.25,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,1,1,0,0,4,0,1,0,0,0,0,0,0,2,0,0,2,1,0,1,2
3.75,0.5,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,4,1,0,0,0
4.25,1,3,0,0,1,0,5,1,0,0,0,1,0,1,4,0,1,1,0,0,1,0,1,1,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,3,3,0,0,0
4.75,1,5,0,0,0,5,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
5.25,0.5,1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0
5.75,1,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,1,0,0,1,2,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6.25,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
6.75,0.5,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7.25,0.5,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
7.75,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0
10.25,0.5,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13.25,1,1,0,0,0,0,2,0,0,0,0,0,2,1,2,0,0,0,2,3,0,0,0,2,0,0,0,0,0,9,1,0,0,1,0,0,0,0,0,0,0,8,4,0,0,0
16.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
19.25,1,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4,0,0,1,0,0,3,2,0,0,0,0,0,0,0,1,0,0,4,1,2,0,0
21.75,1,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0
22.25,1,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,5,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,0,1,2,0,0,0,0
22.75,1,3,0,0,0,3,0,3,0,0,0,0,0,0,1,0,3,3,0,0,0,0,1,3,0,0,0,0,0,3,1,2,0,1,0,0,0,0,1,0,4,2,0,0,0,0
23.25,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
23.75,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,3,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24.25,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1,3,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
24.75,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
25.25,1,2,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,1,2,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,3,3,1,0,0,0
25.75,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,7,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
27.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,1,0,0,1,3,0,0,3,0,0,2,2,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0
29.75,1,0,0,2,0,1,0,0,0,1,0,0,0,0,2,1,3,0,0,0,0,4,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0
30.25,1,1,0,1,0,0,0,1,0,1,0,0,1,1,5,0,2,0,0,1,0,0,1,7,1,0,1,0,0,2,4,1,0,0,0,0,0,1,0,0,2,4,1,0,0,0
30.75,1,5,0,0,0,1,0,1,0,0,0,0,3,0,6,0,1,1,0,3,0,0,0,11,0,0,1,0,0,5,2,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0
31.25,1,1,0,0,1,0,0,0,0,1,0,1,1,0,9,1,2,4,0,0,0,0,1,5,0,1,0,1,0,4,2,0,0,0,0,0,0,1,0,1,0,8,0,0,0,0
31.75,1,2,0,0,0,2,0,2,0,0,0,1,0,0,6,1,1,0,0,0,0,0,2,6,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
32.25,1,1,0,0,0,1,0,1,0,0,0,2,0,0,5,0,2,0,0,0,0,0,4,8,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,4,7,0,0,0,0
32.75,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,0,0
33.25,1,2,0,0,0,0,0,3,0,0,1,0,0,1,5,0,0,2,0,0,0,0,2,11,0,0,2,0,0,10,7,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0
33.75,1,3,0,0,1,0,0,1,0,0,0,0,0,2,1,0,2,0,0,2,0,0,0,5,0,0,2,0,1,4,3,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0
34.25,1,3,0,0,0,2,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
34.75,1,7,0,0,0,0,0,0,1,0,1,0,0,1,3,1,0,0,0,0,0,0,0,4,0,0,1,0,1,5,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0
35.25,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0
35.75,1,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
36.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
