Depth,Bosmina longirostris,Eubosmina,Sida crystallina,Eurycercus spp.,Acroperus harpae,Alonella nana,Graptoleberis testudinaria,Alona affinis,Alona quadrangularis,Alonella excisa,Chydorus sphaericus,Chydorus sphaericus cael.,Alona intermedia,Alona costata/Alona rustica,Alona guttata,small Alona,Alonopsis spp.,Paralona pigra,Monospilus dispar,Rynchotalona falcata,Leydigia leydigi,Disparalona hammata,Latona setifera,Acantholeberis curvirostris,Ilyocryptus sp.,Drepanothrix sp.,volume
0.25,350,0,0,0,150,0,20,100,20,0,70,0,20,0,20,40,0,0,0,0,100,0,20,0,0,20,0.5
3.75,660,0,0,20,300,0,40,240,40,0,140,0,0,0,20,40,0,0,0,0,140,0,0,0,0,0,0.25
4.25,583.3333333333334,0,0,50,233.33333333333337,0,16.666666666666668,133.33333333333334,33.333333333333336,0,100,0,0,0,16.666666666666668,33.333333333333336,0,0,0,0,133.33333333333334,0,33.333333333333336,0,0,0,0.3
4.75,616.6666666666667,0,0,33.333333333333336,133.33333333333334,16.666666666666668,50,133.33333333333334,166.66666666666669,0,150,0,0,0,0,33.333333333333336,0,0,0,0,166.66666666666669,0,0,0,0,0,0.3
5.25,1466.666666666667,0,66.66666666666667,33.333333333333336,266.6666666666667,66.66666666666667,0,66.66666666666667,66.66666666666667,0,200,0,0,0,0,200,0,0,0,0,233.33333333333337,0,0,0,0,0,0.15
5.75,1500,0,0,0,250,0,50,300,100,0,350,0,0,0,50,50,0,0,0,0,400,0,50,0,0,0,0.2
6.25,2500,0,0,0,200,0,100,200,266.6666666666667,0,333.33333333333337,0,0,0,66.66666666666667,200,0,0,0,0,200,0,0,0,0,0,0.15
6.75,2533.3333333333335,0,0,33.333333333333336,400,66.66666666666667,66.66666666666667,100,200,0,400,0,0,66.66666666666667,66.66666666666667,33.333333333333336,0,66.66666666666667,0,0,266.6666666666667,0,0,0,0,0,0.15
7.25,1650,0,50,0,200,25,75,150,200,0,275,0,0,50,25,350,0,0,0,0,250,0,25,0,0,0,0.2
7.75,1933.3333333333335,0,0,0,266.6666666666667,0,233.33333333333337,133.33333333333334,133.33333333333334,0,266.6666666666667,0,0,0,66.66666666666667,66.66666666666667,0,0,0,0,233.33333333333337,0,66.66666666666667,0,0,0,0.15
10.25,2100,0,0,33.333333333333336,200,0,66.66666666666667,133.33333333333334,133.33333333333334,0,233.33333333333337,0,0,100,0,33.333333333333336,0,0,0,0,200,0,0,0,0,0,0.15
13.25,2925,0,0,0,275,100,150,100,50,25,175,0,0,150,50,175,0,0,0,25,150,0,0,50,0,0,0.2
16.25,2833.333333333334,33.333333333333336,0,33.333333333333336,200,33.333333333333336,66.66666666666667,333.33333333333337,133.33333333333334,0,100,0,0,66.66666666666667,33.333333333333336,133.33333333333334,0,0,66.66666666666667,133.33333333333334,66.66666666666667,0,200,66.66666666666667,0,0,0.15
19.25,2625,0,0,25,250,50,50,300,150,0,200,0,0,50,75,50,0,25,0,0,100,0,100,50,0,0,0.2
21.75,3175,0,0,0,425,0,150,250,100,0,75,50,50,100,125,0,25,0,0,50,250,25,150,100,0,0,0.2
22.25,2000,0,0,25,125,50,25,200,100,0,50,0,150,50,25,75,0,0,25,50,75,0,0,25,0,0,0.2
22.75,1250,0,0,0,75,50,25,150,100,0,125,0,25,50,0,75,25,50,0,50,50,0,50,50,0,0,0.2
23.25,1283.3333333333335,0,0,16.666666666666668,33.333333333333336,16.666666666666668,16.666666666666668,33.333333333333336,33.333333333333336,0,33.333333333333336,0,33.333333333333336,133.33333333333334,33.333333333333336,0,33.333333333333336,16.666666666666668,0,100,300,0,33.333333333333336,0,0,0,0.3
23.75,766.6666666666667,0,0,16.666666666666668,66.66666666666667,33.333333333333336,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,0,0,100,33.333333333333336,33.333333333333336,0,33.333333333333336,0,33.333333333333336,33.333333333333336,0,50,0,0,0,0.3
24.25,1475,0,0,25,175,75,75,100,0,0,25,0,0,50,100,0,25,50,25,0,50,0,0,0,0,0,0.2
24.75,1950,0,100,25,300,50,75,100,50,0,100,0,125,75,75,100,0,50,0,50,75,0,0,25,0,0,0.2
25.25,1675,0,0,50,400,25,0,150,0,0,150,0,50,150,50,0,0,0,0,50,0,0,50,50,0,0,0.2
25.75,1400,0,0,25,100,50,25,250,50,0,100,0,25,150,0,0,0,75,0,100,25,0,50,50,0,0,0.2
27.75,2025,0,0,100,250,50,100,125,300,0,175,50,50,150,50,50,50,0,50,0,300,25,50,0,0,0,0.2
29.75,2400,0,0,50,50,50,100,300,200,0,200,0,100,150,0,100,0,0,0,0,700,0,200,0,0,0,0.1
30.25,3650,0,0,75,300,25,50,250,100,0,300,0,50,150,200,100,25,50,0,0,550,0,0,0,0,0,0.2
30.75,1650,0,50,50,150,50,75,200,150,0,200,0,150,150,25,100,0,125,0,50,500,0,50,0,0,0,0.2
31.25,2450,0,0,100,200,0,50,150,300,0,100,0,0,100,100,250,0,0,0,0,600,0,0,0,0,0,0.2
31.75,1700,0,0,50,150,75,75,175,100,0,150,0,50,25,150,100,50,0,0,25,550,0,0,50,0,0,0.2
32.25,2175,0,0,25,100,0,75,250,150,0,250,0,0,0,200,75,0,50,50,0,300,0,0,0,0,0,0.2
32.75,625,0,0,0,25,25,12.5,50,50,0,37.5,0,0,0,0,0,0,0,0,0,200,0,0,0,25,0,0.4
33.25,2500,0,0,50,100,100,0,0,100,0,100,0,0,100,100,100,0,100,0,0,600,0,0,0,0,0,0.1
33.75,3300,0,0,0,200,0,100,200,100,0,100,0,100,200,100,100,0,0,0,0,400,0,0,0,0,0,0.1
34.25,2200,0,0,50,50,100,0,200,200,0,150,0,0,300,100,0,50,100,0,0,600,0,0,100,0,0,0.1
34.75,750,0,0,0,100,0,0,200,100,0,200,0,0,0,0,0,0,100,0,0,350,0,100,0,0,0,0.2
35.25,1675,0,0,25,100,50,0,250,100,0,100,0,50,0,0,300,0,0,0,0,200,0,50,0,0,0,0.2
35.75,1275,0,50,25,0,0,25,200,100,0,25,0,0,0,50,200,25,50,0,25,250,0,50,0,0,0,0.2
36.25,1225,0,0,25,50,0,50,50,25,0,150,0,0,100,100,150,25,0,0,25,200,0,0,0,0,0,0.2
36.75,975,0,0,50,0,0,0,50,25,0,0,0,0,0,125,125,0,0,0,0,400,0,100,0,0,0,0.2
37.25,1350,0,0,0,25,0,0,50,0,0,25,0,0,0,0,100,25,0,0,0,75,0,0,0,0,0,0.2
37.75,900,0,0,0,25,50,0,100,25,0,50,0,0,25,100,125,0,0,0,0,25,0,50,0,0,0,0.2
38.25,1100,0,0,0,0,25,0,50,50,0,50,0,0,0,0,50,0,0,0,0,100,0,25,0,0,0,0.2
